Rank	Node
948	frontier06375
949	frontier06376
950	frontier06397
951	frontier06398
952	frontier06399
953	frontier06482
954	frontier06483
955	frontier06494
956	frontier06496
957	frontier06498
958	frontier06642
959	frontier07028
960	frontier07030
961	frontier07034
962	frontier07056
963	frontier07060
964	frontier07062
965	frontier07066
966	frontier07067
967	frontier07068
968	frontier07189
969	frontier07191
970	frontier07194
971	frontier07198
972	frontier07201
973	frontier07202
974	frontier07315
975	frontier07317
976	frontier07318
977	frontier07319
978	frontier07320
979	frontier07437
980	frontier07438
981	frontier07440
982	frontier07441
983	frontier07443
984	frontier07595
985	frontier07598
986	frontier07635
987	frontier07636
988	frontier07637
989	frontier07778
990	frontier07802
991	frontier07803
992	frontier07804
993	frontier07805
994	frontier07867
995	frontier07868
996	frontier07871
997	frontier07883
998	frontier07887
999	frontier08183
1000	frontier08187
1001	frontier08188
1002	frontier08190
1003	frontier08318
1004	frontier08319
1005	frontier08443
1006	frontier08446
1007	frontier08447
1008	frontier08560
1009	frontier08567
1010	frontier08569
1011	frontier08571
1012	frontier08575
1013	frontier08699
1014	frontier08700
1015	frontier08701
1016	frontier08704
1017	frontier08826
1018	frontier08827
1019	frontier08828
1020	frontier08829
1021	frontier08832
1022	frontier08922
1023	frontier10493
